"AMEX Securities as of 11/9/2007","","",""
"Name","Symbol","Market Value (millions)","Description (as filed with the SEC)"
"American Telecom Services, Inc.","TES/WS","$0.0","Not Available"
"Ameristock ETF Trust","GKA","$2.6","Not Available"
"Ameristock ETF Trust","GKB","$2.6","Not Available"
"Ameristock ETF Trust","GKC","$2.7","Not Available"
"Ameristock ETF Trust","GKD","$2.7","Not Available"
"Ameristock ETF Trust","GKE","$2.7","Not Available"
"AmREIT, Inc","AMY","$50.2","We are an established real estate company that, at our core, are value creators
who have delivered results to our investors for 22 years. We have elected to be
taxed as a real estate investment trust (“REIT”) for federal income tax
purposes. Our mission is to build a real estate business with complementary
operations that reduce our sensitivity to changing market cycles.

We view the Company as having two distinct companies in one: our
institutional-grade portfolio of Irreplaceable Corners - premier retail
properties in high-traffic, highly populated areas - which are held for
long-term value and provide a foundation to our funds from operations (FFO)
growth through a steady stream of rental income; and our advisory/sponsorship
business that broadens our access to capital and raises equity for a series of
merchant development funds, resulting in recurring income from assets under
management.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f04%2f02%2f0000913957-07-000005.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Anooraq Resources Corporation","ANO","$886.2","Anooraq Resources Corporation was incorporated on April 19, 1983 under the laws
of the Province of British Columbia, Canada. The Company was transitioned under
the Business Corporations Act on June 11, 2004, on which date the Company
altered its Notice of Articles to change its authorized share structure from
200,000,000 common shares without par value to an unlimited number of common
shares without par value.

The head office of the Company is located at Suite 1020 – 800 West Pender
Street, Vancouver, British Columbia, Canada V6C 2V6, telephone (604) 684-6365,
facsimile (604) 684-8092 and the registered office is in care of its Canadian
attorneys McCarthy Tétrault LLP at Suite 1300 – 777 Dunsmuir Street, Vancouver,
British Columbia, Canada V7Y 1K2, telephone (604) 643-7100, facsimile (604)
643-7900.

2.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f07%2f16%2f0001062993-07-002657.html#FIS_COMPANY_INFORMATION"" &nbsp;&nbsp;"
"Antares Pharma, Inc.","AIS","$73.4","This report contains forward-looking statements within the meaning of Section
27A of the Securities Act, Section 21E of the Securities Exchange Act of 1934,
as amended, or the Exchange Act, and the Private Securities Litigation Reform
Act of 1995 that are subject to risks and uncertainties. You should not place
undue reliance on those statements because they are subject to numerous
uncertainties and factors relating to our operations and business environment,
all of which are difficult to predict and many of which are beyond our control.
These statements often include words such as “may,” “believe,” “expect,”
“anticipate,” “intend,” “plan,” “estimate” or similar expressions. These
statements are based on assumptions that we have made in light of our industry
experience as well as our perceptions of historical trends, current conditions,
expected future developments and other factors we believe are appropriate under
the circumstances.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f27%2f0001016169-07-000006.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Apex Bioventures Acquisition Corporation","PEX","$78.4","No business description found."
"Apex Bioventures Acquisition Corporation","PEX/U","$0.0","Not Available"
"Apex Bioventures Acquisition Corporation","PEX/WS","$0.0","Not Available"
"Apex Silver Mines Limited","SIL","$1,139.1","Apex Silver Mines Limited, incorporated under the laws of the Cayman Islands in
1996, is engaged in the exploration and development of silver and other mineral
properties in Latin America. We have a large diversified portfolio of privately
owned and controlled silver and other mineral exploration properties. We have
rights to or control over numerous claims or concessions located in or near the
traditional silver producing regions of Central and South America, primarily
Bolivia, Peru, Argentina and Mexico. None of our properties is in production,
and consequently we have no income or cash flow from operations.

Our first development property, the 65% owned San Cristobal project located in
southwestern Bolivia, is currently under construction and is expected to have
its first sale of production in the third quarter of 2007. San Cristobal’s
proven and probable reserves at December 31, 2006, based on $8.51 per ounce
silver, $0.86 per pound zinc and $0.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f04%2f03%2f0001104659-07-025095.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Apogee Technology, Inc.","ATA","$8.1","Apogee Technology, Inc. (“Apogee”, the “Company”, “we”, “us” or “our”) is
designing and developing advanced intradermal and dermal drug delivery systems
while further developing and marketing sensor solutions based upon the Company’s
proprietary nanotechnology and Micro-Electromechanical Systems (“MEMS”) and drug
delivery technologies.

Our Medical Products Group is developing advanced intradermal drug delivery
systems to meet the needs of patients, health insurers, companies’ developing
pharmaceuticals, as well as, governments and international health organizations.
We are in preclinical development of our PyraDerm™ intradermal drug system,
which we believe could have significant advantages over competitive approaches
for the delivery of vaccines, small dose high potency therapeutic protein drugs
and other active ingredients.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f29%2f0001104659-07-023592.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Apollo Gold Corporation","AGT","$72.5","The earliest predecessor to Apollo Gold Corporation was incorporated under the
laws of the Province of Ontario in 1936. In May 2003, it reincorporated under
the laws of the Yukon Territory. Apollo Gold Corporation maintains its
registered office at 204 Black Street, Suite 300, Whitehorse, Yukon Territory,
Canada Y1A 2M9, and the telephone number at that office is (867) 668-5252.
Apollo Gold Corporation maintains its principal executive office at 5655 S.
Yosemite Street, Suite 200, Greenwood Village, Colorado 80111-3220, and the
telephone number at that office is (720) 886-9656. Our internet address is
http://www.apollogold.com. Information contained on our website is not a part of
this Annual Report on Form 10-K.
 
Apollo is engaged in gold mining including extraction, processing, refining and
the production of by-product metals, as well as related activities including
exploration and development.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f04%2f02%2f0001144204-07-016682.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Arcadia Resources, Inc.","KAD","$149.6","Arcadia Resources, Inc. (“Arcadia” or the “Company”) is a national provider of
in-home health care and retail / employer health care services. The Company has
five distinct segements: Services, Products (Durable Medical Equipment or
“DME”), Retail, Pharmacy and Clinics. The Services segment is a national
provider of medical staffing services, including home healthcare and medical
staffing, as well as light industrial, clerical and technical staffing services.
Based in Southfield, Michigan, the Services segment provides its staffing
services through a network of affiliate and company-owned offices throughout the
United States. The Products segment markets, rents and sells products and
equipment across the United States including a catalog out-sourcing and product
fulfuillment business which sells various medical equipment product offerings.
In addition, the Retail segment includes operations which sell medical equipment
at certain Sears and Wal-Mart retail locations.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f06%2f29%2f0000950124-07-003555.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Argan, Inc.","AGX","$120.4","Argan, Inc. (“AI,” “the Company” or “we”) provides a broad range of engineering,
procurement and construction services to the power industry, telecommunications
infrastructure services, and manufacturing and distribution of nutritional
supplements. We conduct our operations through our wholly owned subsidiaries,
Gemma Power Systems, LLC (“GPS LLC”), Gemma Power, Inc., (“GPI”) and Gemma Power
Systems California, Inc. (“GPS-California”) (collectively referred to as,
“GPS”), Southern Maryland Cable, Inc. (SMC) and Vitarich Laboratories, Inc.
(VLI) that we acquired in, December 2006, July 2003 and August 2004,
respectively.

Power Industry Services

Through GPS, we provide a full range of development, consulting, engineering,
procurement, construction, commissioning, operating and maintenance services to
the energy market for a wide range of customers including public utilities,
independent power project owners, municipalities, public institutions and
private industry.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f04%2f26%2f0001144204-07-020694.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Arizona Land Income Corporation","AZL","$12.5","Background. Arizona Land Income Corporation (the “Company”) is a real estate
investment trust organized as an Arizona corporation on March 10, 1988. On that
same date, the Company issued 100 shares of the Company’s Class B Common Stock
to YSP Holdings, Inc. (“YSP Holdings”), the Company’s sponsor, in return for an
initial capital contribution of $1,000. Operations of the Company commenced on
June 13, 1988, the date on which the Company completed its initial public
offering.

In June 1988, the Company began investing in first mortgage loans on unimproved
real property located primarily in the metropolitan Phoenix area. Such loans
included mortgage loans secured or collateralized by first mortgages, first
deeds of trust and real property subject to agreements for sale and subdivision
trusts (“First Mortgage Loans”). From its inception until December 31, 1991, the
Company purchased interests totaling $34,120,000 in twenty First Mortgage Loans.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f04%2f02%2f0001193125-07-070982.html#FIS_BUSINESS"" &nbsp;&nbsp;"
